light,temp
960,56.71
957,56.13
965,56.13
968,57.43
961,56.42
960,57.72
965,54.39
965,56.13
960,57.0
960,57.29
966,57.72
968,58.30
960,56.27
959,55.98
965,56.42
966,56.13
960,56.56
962,56.85
967,55.98
965,55.98
958,56.13
962,57.43
964,57.14
962,54.97
960,56.71
961,55.98
966,57.29
965,55.55
958,57.14
962,57.14
966,56.71
964,56.56
960,54.39
961,56.71
965,54.97
967,56.13
960,58.45
960,56.71
965,53.8
969,54.39
960,56.71
961,56.13
965,56.56
967,55.11
957,56.27
960,57.14
968,56.27
967,56.71
961,56.13
961,55.55
969,55.40
968,57.72
959,55.55
960,56.27
964,57.29
963,56.56
959,56.71
962,55.98
968,57.14
966,56.71
960,56.27
961,56.56
963,57.58
965,57.0
958,57.29
959,55.11
965,56.56
964,56.13
958,56.56
962,56.13
970,57.87
968,57.87
958,56.27
961,55.55
966,57.0
967,56.71
957,56.71
962,57.14
968,56.56
964,57.14
960,54.39
961,55.55
964,56.71
961,56.13
959,56.13
962,57.43
967,57.29
964,57.58
960,56.56
962,56.13
964,57.29
965,55.26
960,56.13
962,56.56
970,57.87
966,55.84
959,56.71
962,57.14
967,56.13
966,57.29
959,53.95
962,56.71
965,57.29
965,56.71
960,55.40
963,56.71
967,56.71
964,56.13
958,55.98
960,55.84
966,56.42
965,56.71
960,56.13
963,57.29
971,57.43
966,57.58
959,56.42
960,56.42
968,57.14
968,55.11
962,55.98
962,58.45
966,56.71
964,55.55
956,56.56
960,55.84
965,56.71
964,55.55
961,56.56
963,56.71
968,56.56
964,57.72
960,56.71
962,56.42
967,56.13
965,55.40
962,56.71
961,57.14
969,57.14
962,56.56
957,56.13
964,56.56
968,56.13
966,55.55
959,52.6
961,56.42
965,56.56
964,56.71
959,56.71
962,57.29
968,57.72
964,56.71
960,56.71
961,56.71
968,57.29
964,55.40
960,56.56
963,57.29
968,57.72
964,55.55
957,56.71
960,55.55
968,54.97
968,55.40
960,56.56
963,57.29
968,56.71
961,56.71
955,56.27
960,56.13
968,57.29
962,57.14
959,57.14
961,56.27
966,56.27
964,56.71
960,54.82
966,57.29
968,55.40
963,54.24
959,55.98
961,56.27
966,57.43
960,54.10
962,56.71
963,57.58
967,57.29
965,54.24
959,56.27
960,56.71
968,57.29
964,57.29
960,56.13
966,56.71
970,55.55
964,57.29
958,56.42
961,56.13
970,54.39
964,57.72
960,56.56
966,56.56
970,57.43
960,56.56
959,56.27
964,56.71
967,57.29
961,55.55
962,56.56
964,56.56
968,55.55
964,57.43
960,56.56
964,56.71
968,56.71
965,54.10
961,57.29
963,55.55
968,57.72
960,56.13
961,56.42
961,56.13
968,57.29
962,56.13
962,57.58
965,56.42
967,56.13
961,55.55
959,55.55
962,57.43
966,54.82
965,56.42
960,56.71
963,55.26
968,57.14
962,57.14
958,57.0
965,56.42
967,56.71
961,56.56
959,55.55
964,57.0
970,56.13
964,56.27
958,55.98
964,55.84
970,57.87
964,57.14
958,56.42
964,56.71
969,55.40
963,55.55
958,57.29
968,57.0
968,57.87
966,57.87
962,56.71
967,56.56
968,55.98
962,54.97
960,57.43
962,56.71
969,55.55
962,55.98
962,56.13
963,57.43
968,57.29
960,56.71
957,56.13
964,55.40
969,57.14
960,57.14
958,56.42
965,56.71
969,57.14
961,55.98
958,56.13
966,57.72
967,56.56
956,54.39
963,55.55
965,56.71
969,57.29
961,55.26
960,56.71
966,57.14
968,56.42
963,56.71
958,56.27
964,56.71
970,57.14
961,57.29
957,56.13
965,56.13
967,55.55
963,56.56
963,55.55
968,56.71
967,57.29
962,56.71
963,56.13
962,55.55
969,56.13
962,56.71
961,57.29
965,55.98
969,55.55
960,56.56
957,55.55
963,55.98
965,56.13
960,55.40
960,56.56
966,57.14
967,57.14
962,56.13
960,56.56
965,56.42
968,58.1
960,54.82
962,56.13
968,57.14
971,56.42
960,56.42
959,55.55
964,57.14
968,57.43
960,57.43
960,56.27
962,56.13
967,57.29
960,57.14
960,56.27
964,56.56
969,56.56
960,56.13
960,55.98
966,56.13
967,56.71
958,56.56
960,56.71
966,57.0
968,57.87
962,56.56
958,56.71
965,55.40
968,57.0
959,56.13
960,57.0
965,56.13
971,56.56
959,57.14
962,57.29
966,57.29
968,57.29
962,57.14
959,56.71
969,56.71
965,55.55
960,56.56
962,57.29
968,56.71
968,57.0
959,56.71
957,55.55
965,56.56
969,56.56
