,  35 .  10 
1986 ,  35 .  82 
1984 ,  35 .  68 
1985 ,  35 .  82 
1984 ,  35 .  68 
1985 ,  35 .  68 
1984 ,  35 .  68 
1983 ,  35 .  10 
1985 ,  35 .  24 
1986 ,  35 .  68 
1986 ,  36 .  55 
1984 ,  35 .  82 
1986 ,  35 .  10 
1987 ,  36 .  40 
1984 ,  36 .  26 
1983 ,  35 .  82 
1985 ,  35 .  82 
1981 ,  35 .  68 
1985 ,  35 .  10 
1983 ,  35 .  82 
1986 ,  36 .  26 
1986 ,  35 .  82 
1984 ,  36 .  69 
1984 ,  35 .  10 
1985 ,  37 .  56 
1984 ,  36 .  69 
1984 ,  35 .  82 
1982 ,  33 .  21 
1983 ,  35 .  82 
1986 ,  35 .  68 
1984 ,  36 .  26 
1986 ,  35 .  24 
1985 ,  34 .  95 
1989 ,  35 .  10 
1985 ,  35 .  82 
1986 ,  34 .  95 
1984 ,  34 .  81 
1985 ,  34 .  37 
1984 ,  35 .  68 
1982 ,  33 .  21 
1984 ,  34 .  52 
1985 ,  34 .  52 
1986 ,  34 .  23 
1981 ,  35 .  82 
1986 ,  33 .  94 
1983 ,  35 .  10 
1985 ,  35 .  24 
1983 ,  35 .  68 
1984 ,  34 .  81 
1984 ,  35 .  10 
1986 ,  34 .  52 
1984 ,  35 .  68 
1986 ,  35 .  39 
1983 ,  35 .  82 
1984 ,  36 .  26 
1979 ,  35 .  97 
1984 ,  35 .  68 
1983 ,  35 .  24 
1984 ,  36 .  40 
1982 ,  36 .  26 
1984 ,  35 .  82 
1984 ,  35 .  68 
1984 ,  35 .  68 
1982 ,  34 .  81 
1985 ,  35 .  53 
1984 ,  36 .  26 
1984 ,  35 .  82 
1980 ,  35 .  53 
1985 ,  35 .  24 
1984 ,  35 .  10 
1986 ,  35 .  39 
1983 ,  35 .  68 
1983 ,  36 .  84 
1984 ,  35 .  68 
1984 ,  35 .  10 
1982 ,  35 .  68 
1984 ,  35 .  24 
1983 ,  34 .  81 
1983 ,  35 .  82 
1982 ,  36 .  26 
1982 ,  35 .  82 
1983 ,  35 .  82 
1983 ,  35 .  39 
1980 ,  35 .  82 
1983 ,  36 .  26 
1983 ,  35 .  68 
1983 ,  35 .  68 
1981 ,  35 .  68 
1982 ,  35 .  68 
1984 ,  35 .  68 
1985 ,  34 .  52 
1981 ,  35 .  68 
1987 ,  35 .  24 
1981 ,  35 .  82 
1980 ,  35 .  82 
1982 ,  36 .  55 
1986 ,  36 .  26 
1982 ,  36 .  26 
1983 ,  35 .  39 
1983 ,  35 .  10 
1983 ,  35 .  82 
1982 ,  35 .  39 
1986 ,  35 .  24 
1982 ,  36 .  26 
1985 ,  36 .  26 
1981 ,  35 .  53 
1980 ,  35 .  53 
1983 ,  35 .  39 
1983 ,  35 .  82 
1984 ,  36 .  84 
1983 ,  35 .  68 
1982 ,  35 .  24 
1980 ,  34 .  81 
1982 ,  36 .  26 
1980 ,  35 .  68 
1978 ,  36 .  40 
1981 ,  36 .  26 
1977 ,  35 .  82 
1977 ,  35 .  39 
1977 ,  35 .  53 
1979 ,  35 .  68 
1978 ,  35 .  39 
1977 ,  35 .  82 
1978 ,  35 .  39 
1978 ,  35 .  68 
1978 ,  35 .  97 
1978 ,  35 .  68 
1978 ,  34 .  81 
1979 ,  35 .  39 
1978 ,  35 .  24 
1978 ,  36 .  11 
1978 ,  35 .  97 
1978 ,  35 .  24 
1979 ,  35 .  24 
1979 ,  35 .  82 
1979 ,  35 .  68 
1979 ,  35 .  82 
1977 ,  35 .  10 
1977 ,  35 .  24 
1977 ,  34 .  81 
1978 ,  36 .  26 
1978 ,  35 .  24 
1979 ,  35 .  82 
1976 ,  35 .  68 
1980 ,  36 .  55 
1978 ,  38 .  14 
1976 ,  36 .  84 
1977 ,  35 .  68 
1978 ,  36 .  26 
1978 ,  35 .  39 
1977 ,  35 .  82 
1976 ,  35 .  10 
1976 ,  35 .  10 
1977 ,  35 .  24 
1978 ,  35 .  68 
1976 ,  35 .  82 
1976 ,  35 .  10 
1978 ,  34 .  52 
1978 ,  34 .  52 
1976 ,  36 .  40 
1978 ,  35 .  10 
1976 ,  34 .  81 
1976 ,  34 .  52 
1977 ,  33 .  50 
1977 ,  34 .  81 
1978 ,  34 .   8 
1978 ,  34 .  52 
1978 ,  33 .  94 
1979 ,  34 .  23 
1979 ,  34 .  81 
1978 ,  35 .  10 
1978 ,  34 .  81 
1975 ,  36 .  40 
1976 ,  34 .  23 
1977 ,  35 .  39 
1975 ,  35 .  68 
1976 ,  34 .  52 
1976 ,  34 .  66 
1977 ,  34 .  37 
1974 ,  35 .  39 
1977 ,  35 .  53 
1976 ,  35 .  39 
1975 ,  35 .  53 
1979 ,  35 .  53 
1978 ,  35 .  24 
1976 ,  35 .  39 
1976 ,  35 .  24 
1978 ,  34 .  81 
1976 ,  35 .  82 
1977 ,  34 .  95 
1975 ,  35 .  39 
1973 ,  35 .  68 
1975 ,  35 .  68 
1978 ,  35 .  39 
1976 ,  35 .  39 
1977 ,  35 .  68 
1977 ,  35 .  10 
1977 ,  34 .  52 
1976 ,  34 .  81 
1978 ,  36 .  40 
1976 ,  35 .  82 
1977 ,  35 .  10 
1975 ,  35 .  68 
1975 ,  34 .  66 
1977 ,  35 .  10 
1977 ,  35 .  82 
1978 ,  35 .  39 
1979 ,  35 .  10 
1976 ,  35 .  24 
1978 ,  36 .  26 
1978 ,  36 .  26 
1977 ,  34 .   8 
1972 ,  35 .  82 
1976 ,  35 .  82 
1978 ,  35 .  82 
1974 ,  35 .  39 
1973 ,  35 .  68 
1975 ,  35 .  10 
1977 ,  35 .  82 
1975 ,  35 .  24 
1978 ,  36 .  26 
1968 ,  35 .  82 
1974 ,  35 .  10 
1973 ,  36 .  69 
1979 ,  35 .  82 
